FOA ID,Title,Agency,Scheme Name,Closing Date,Extended Date,Max Budget INR,Min Qualification,Max Age,Target Beneficiary,Source URL
SCHOLARSHIP-NSP-POSTMATRIC-SC-2026,Post-Matric Scholarship for Scheduled Caste (SC) Students,NSP,Centrally Sponsored Post-Matric Scholarship for SCs,2026-12-31,,120000.0,Passed Class 10th / Matriculation and enrolled in recognized Post-Matric course,40,UG / PG Students,https://scholarships.gov.in
SCHOLARSHIP-NSP-POSTMATRIC-ST-2026,Post-Matric Scholarship for Scheduled Tribe (ST) Students,NSP,Post-Matric Scholarship for STs,2026-12-31,,120000.0,Passed Class 10th and admitted to post-matric educational institution,40,UG / PG Students,https://scholarships.gov.in
SCHOLARSHIP-NSP-YASASVI-2026,"PM YASASVI Post-Matric Scholarship for OBC, EBC, and DNT Students",NSP,PM Young Achievers Scholarship (PM YASASVI),2026-11-30,,45000.0,Class 10th passed with valid OBC/EBC/DNT certificate,30,UG / PG Students,https://scholarships.gov.in
SCHOLARSHIP-NSP-ISHAN-UDAY-2026,UGC Ishan Uday Special Scholarship Scheme for North Eastern Region (NER),UGC,Ishan Uday Scholarship for North East,2026-11-15,,93600.0,Passed Class 12th from NER and enrolled in 1st year of recognized UG program,25,UG / PG Students,https://scholarships.gov.in
SCHOLARSHIP-UGC-SGC-2026,UGC Post Graduate Indira Gandhi Scholarship for Single Girl Child,UGC,PG Indira Gandhi Scholarship for Single Girl Child,2026-11-30,,72400.0,"Admitted to 1st year regular, full-time Master's (PG) course in any recognized university",30,UG / PG Students,https://www.ugc.gov.in
SCHOLARSHIP-UP-DASHMOTTAR-2026,Uttar Pradesh Post-Matric Scholarship & Fee Reimbursement Scheme (Dashmottar),State Govt,"UP Dashmottar Scholarship (Class 11, 12, UG, PG, Diploma)",2026-12-10,2026-12-31,60000.0,Passed Class 10th/12th and enrolled in recognized Post-Matric course,40,UG / PG Students,https://scholarship.up.gov.in
SCHOLARSHIP-MAHADBT-EBC-2026,MahaDBT Rajarshi Chhatrapati Shahu Maharaj Shikshan Shulkh Shishyavrutti Yojna (EBC),State Govt,MahaDBT EBC Tuition Fee Reimbursement,2026-12-31,,75000.0,Admitted through CAP (Centralized Admission Process) into recognized professional course,35,UG / PG Students,https://mahadbt.maharashtra.gov.in
SCHOLARSHIP-KOTAK-KANYA-2026,Kotak Kanya Scholarship for Meritorious Girls in Professional Graduation,CSR / Foundation,Kotak Kanya Scholarship Programme,2026-10-31,2026-11-15,600000.0,Secured >= 85% marks in Class 12 Board examination and admitted to 1st year professional degree,24,UG / PG Students,https://kotakeducation.org/kotak-kanya-scholarship
SCHOLARSHIP-RELIANCE-UG-2026,Reliance Foundation Undergraduate Merit-cum-Means Scholarships,CSR / Foundation,Reliance Foundation UG Scholarship,2026-10-15,2026-10-31,200000.0,Passed Class 12th with min 60% marks and currently enrolled in 1st year full-time UG degree,25,UG / PG Students,https://www.scholarships.reliancefoundation.org
SCHOLARSHIP-HDFC-PARIVARTAN-2026,HDFC Bank Parivartan's Educational Crisis Support Scholarship (ECSS),CSR / Foundation,HDFC Parivartan ECSS Programme,2026-11-30,,75000.0,Passed previous qualifying examination with at least 55% marks,30,UG / PG Students,https://www.hdfcbank.com
SCHOLARSHIP-AICTE-PRAGATI-2026,AICTE Pragati Scholarship Scheme for Girl Students (Technical Degree & Diploma),AICTE,Pragati Scholarship Scheme for Girls,2026-11-30,2026-12-15,200000.0,Class 12th (for Degree) or Class 10th (for Diploma) admitted to 1st year AICTE institution,30,UG / PG Students,https://www.aicte-india.org
SCHOLARSHIP-AICTE-SAKSHAM-2026,AICTE Saksham Scholarship Scheme for Specially-Abled Students,AICTE,Saksham Scholarship Scheme for Differently Abled,2026-11-30,,200000.0,Admitted to 1st year of Degree/Diploma course in AICTE approved institution,35,UG / PG Students,https://www.aicte-india.org
SCHOLARSHIP-NSP-PMUSP-2026,Central Sector Scheme of Scholarship for College and University Students (PM-USP),NSP,PM-USP Central Sector Scholarship,2026-11-15,2026-11-30,76000.0,Passed Class 12th with above 80th percentile in respective State/CBSE/ICSE Board,25,UG / PG Students,https://scholarships.gov.in
DST-WISE-2026-08,DST WISE-KIRAN Postdoctoral Fellowship for Women in Science,DST,WISE-PDF Scheme,2026-12-31,,2200000.0,Ph.D. in Basic or Applied Sciences / Engineering,45,PhD Scholars & Postdoctoral Fellows,https://dst.gov.in/call-for-proposals/wise-pdf-2026
DBT-BIG-2026-07,DBT-BIRAC Biotechnology Ignition Grant (BIG) for MedTech & Bio-Innovation,DBT,Biotechnology Ignition Grant,2026-08-31,2026-09-15,5000000.0,"Graduate in Biotech, Life Sciences, Medicine, or Engineering",50,Startups & Industry Partners,https://dbtindia.gov.in/schemes/birac-big-2026
ANRF-TARE-2026-06,ANRF Teachers Associateship for Research Excellence (TARE),ANRF/SERB,TARE Associateship,2026-09-30,,1500000.0,Ph.D. in Science or Engineering/Technology,45,Faculty / Principal Investigator,https://anrfonline.in/schemes/tare-2026
NSP-PMSS-2026-05,NSP Prime Minister's Scholarship Scheme (PMSS) for Higher Technical Education,NSP,Prime Minister's Scholarship Scheme,2026-10-31,2026-11-30,36000.0,Class 12th / Diploma passed with minimum 60% marks,25,UG / PG Students,https://scholarships.gov.in/schemes/pmss-2026
AICTE-RPS-2026-04,AICTE Research Promotion Scheme (RPS) for Technical Institutions,AICTE,Research Promotion Scheme (RPS),2026-11-15,,2500000.0,Master's or Ph.D. in Engineering / Technology,55,Faculty / Principal Investigator,https://www.aicte-india.org/schemes/rps-2026
CSIR-EMR-2026-02,CSIR Extra Mural Research (EMR-II) Scheme in Biotechnology & Health Sciences,CSIR,Extra Mural Research Scheme,2026-09-15,2026-09-30,4500000.0,Ph.D. or MD/MS with active research track record,65,Faculty / Principal Investigator,https://csir.res.in/schemes/emr-2026
ANRF-POWER-2026-03,ANRF Promoting Opportunities for Women in Exploratory Research (POWER) Grant,ANRF/SERB,ANRF POWER Research Grant,2026-10-31,,3000000.0,"Ph.D. degree in Science, Engineering or Medicine",55,Women Scientists,https://anrfonline.in/schemes/power-2026
